project_id,domain,methodology,team_location,vendor_contract_type,planned_budget_lakhs,planned_duration_days,team_size,team_experience_years_avg,tech_complexity,requirements_changes,open_bugs_count,vendor_dependency,stakeholder_count,offshore_ratio,sprint_length_days,story_points_planned,completed_rate,issue_churn_rate,reopens_rate,dependency_count,overdue_tasks_pct,requirements_clarity,risk_register_count,past_similar_success_rate,buffer_days,schedule_slippage_pct,cost_variance_pct,risk,risk_level
P1787,Telecom,Agile,Co-located,Fixed Bid,62.18,177,11,9.21,2,14,3,1,4,0.532,14,144,0.669,0.289,0.101,2,0.053,5,1,0.537,1,0.05,10.43,0,Low
P1264,E-commerce,Hybrid,Co-located,T&M,10.39,103,17,6.72,2,11,4,0,15,0.4,0,0,0.891,0.194,0.219,4,0.144,3,4,0.435,21,0.0,1.52,0,Low
P1622,Retail,Agile,Co-located,T&M,68.07,301,13,3.97,4,22,15,0,8,0.12,7,162,0.948,0.167,0.193,14,0.011,1,8,0.696,11,32.44,8.97,1,High
P1735,Government,Hybrid,Hybrid,Managed Services,87.66,297,13,3.17,3,14,6,0,15,0.165,0,0,0.776,0.437,0.384,2,0.133,4,5,0.835,18,15.19,5.66,0,Low
P1374,Telecom,Agile,Hybrid,T&M,48.99,77,10,4.77,2,18,7,1,6,0.232,7,211,0.744,0.082,0.108,8,0.214,5,3,0.729,3,0.0,-0.03,0,Low
P1893,Fintech,Agile,Hybrid,Fixed Bid,27.46,502,15,4.88,2,21,3,0,7,0.325,14,159,0.847,0.279,0.179,5,0.336,4,0,0.63,5,2.49,8.3,0,Low
P1693,Government,Agile,Distributed,Managed Services,11.01,89,13,4.17,5,18,11,1,3,0.16,7,278,0.924,0.426,0.106,11,0.187,2,9,0.635,6,23.38,27.86,1,High
P1390,Government,Hybrid,Co-located,T&M,33.61,314,12,2.46,3,12,4,1,11,0.491,0,0,0.864,0.125,0.164,12,0.224,4,4,0.69,8,27.51,20.42,1,High
P1591,Retail,Waterfall,Co-located,Fixed Bid,35.82,538,14,5.4,5,12,14,1,19,0.132,0,0,1.071,0.242,0.255,3,0.085,1,7,0.258,9,29.27,21.61,1,High
P1053,Fintech,Hybrid,Distributed,T&M,44.3,292,16,4.23,1,10,2,1,7,0.138,0,0,1.044,0.498,0.076,9,0.233,5,2,0.219,1,0.0,-3.83,0,Low
P1905,Government,Hybrid,Co-located,T&M,34.85,63,13,4.96,1,18,2,0,6,0.441,0,0,0.754,0.08,0.136,6,0.181,5,0,0.424,4,6.29,3.01,0,Low
P1046,Healthcare,Agile,Co-located,Fixed Bid,20.24,216,17,5.99,1,11,3,0,16,0.312,7,330,1.111,0.11,0.107,8,0.039,5,2,0.768,9,13.13,-10.0,0,Low
P1012,Healthcare,Hybrid,Hybrid,T&M,20.31,476,11,6.35,2,13,8,1,13,0.63,0,0,0.809,0.235,0.092,5,0.304,4,0,0.398,11,2.53,6.88,0,Low
P1123,Fintech,Agile,Distributed,Managed Services,24.26,415,17,3.17,1,7,5,1,11,0.502,14,189,0.998,0.05,0.271,10,0.156,5,1,0.555,16,3.38,0.72,0,Low
P1295,Telecom,Agile,Hybrid,Managed Services,21.81,519,18,5.6,2,13,8,0,20,0.155,14,228,0.875,0.013,0.067,3,0.089,5,3,0.287,22,0.0,-5.52,0,Low
P1263,Healthcare,Agile,Distributed,Fixed Bid,22.32,145,18,7.32,5,22,9,0,19,0.573,7,98,0.816,0.253,0.147,11,0.183,1,7,0.362,11,30.4,30.19,1,High
P1336,Healthcare,Hybrid,Distributed,Managed Services,63.04,147,15,7.03,1,11,1,0,18,0.804,0,0,0.995,0.306,0.244,3,0.215,5,1,0.544,5,0.0,4.04,0,Low
P1940,Retail,Agile,Co-located,Fixed Bid,26.36,418,8,0.5,1,14,6,1,20,0.357,7,96,0.967,0.247,0.234,6,0.314,5,1,0.83,4,9.3,13.26,0,Medium
P1532,Retail,Hybrid,Hybrid,Managed Services,29.82,68,12,5.36,4,9,13,0,4,0.56,0,0,1.051,0.267,0.299,13,0.13,1,7,0.922,12,23.24,23.23,1,High
P1917,Telecom,Hybrid,Hybrid,T&M,19.67,338,11,5.34,1,16,2,0,17,0.106,0,0,1.041,0.386,0.165,0,0.029,5,1,0.827,14,5.15,4.98,0,Low
P1763,Retail,Waterfall,Distributed,Fixed Bid,36.06,186,16,8.33,2,6,7,1,5,0.446,0,0,1.061,0.313,0.095,0,0.275,3,7,0.592,15,0.0,10.66,0,Low
P1706,Fintech,Agile,Co-located,Fixed Bid,103.75,225,23,2.14,5,19,10,0,14,0.684,14,93,0.715,0.227,0.081,8,0.103,1,14,0.282,18,29.94,28.48,1,High
P1160,Fintech,Agile,Co-located,T&M,12.98,513,19,3.7,1,12,7,0,18,0.168,14,292,1.017,0.221,0.234,4,0.167,4,2,0.641,16,0.0,5.21,0,Low
P1404,Fintech,Agile,Distributed,Fixed Bid,62.89,533,10,1.18,2,9,9,0,18,0.174,14,188,0.771,0.308,0.127,9,0.196,3,6,0.596,13,24.16,26.07,1,High
P1028,Healthcare,Waterfall,Distributed,T&M,21.72,322,14,7.94,1,12,3,1,4,0.306,0,0,0.962,0.288,0.175,9,0.232,5,1,0.46,4,0.0,-3.49,0,Low
P1354,Retail,Agile,Co-located,T&M,87.65,355,14,0.5,2,12,7,0,9,0.646,14,116,0.614,0.463,0.072,4,0.032,5,3,0.311,11,11.03,2.89,0,Low
P1187,Healthcare,Waterfall,Co-located,Fixed Bid,24.49,460,18,4.36,2,8,7,0,15,0.408,0,0,0.995,0.056,0.369,0,0.0,3,3,0.693,8,5.45,2.85,0,Low
P1106,Fintech,Agile,Co-located,Managed Services,31.83,246,14,3.66,5,22,19,1,18,0.069,7,174,0.793,0.389,0.332,13,0.165,2,5,0.858,20,30.83,20.47,1,High
P1544,Telecom,Waterfall,Co-located,Managed Services,65.69,408,11,5.3,4,7,17,0,20,0.293,0,0,0.937,0.308,0.033,6,0.035,1,7,0.9,4,23.99,8.28,1,High
P1236,Retail,Agile,Distributed,Managed Services,29.68,536,16,3.58,3,17,11,1,14,0.515,7,339,0.895,0.131,0.23,8,0.14,2,6,0.224,16,23.91,18.13,1,High
P1971,Government,Hybrid,Distributed,Fixed Bid,14.44,62,13,3.95,2,7,7,1,11,0.15,0,0,0.832,0.171,0.001,2,0.0,5,3,0.548,9,0.7,5.87,0,Low
P1903,E-commerce,Waterfall,Co-located,T&M,25.01,279,11,3.0,2,7,5,0,20,0.605,0,0,0.818,0.338,0.4,12,0.162,3,2,0.525,8,16.74,17.46,1,Medium
P1768,Government,Agile,Hybrid,Fixed Bid,17.68,231,13,3.12,3,19,13,0,8,0.449,14,323,0.808,0.5,0.251,8,0.0,2,3,0.332,11,15.61,16.89,1,High
P1891,Government,Hybrid,Co-located,Fixed Bid,57.37,461,15,3.75,3,8,10,1,4,0.246,0,0,0.825,0.389,0.242,15,0.194,2,10,0.904,8,28.14,20.93,1,High
P1481,Government,Waterfall,Hybrid,T&M,20.75,343,11,6.86,2,10,6,1,17,0.118,0,0,0.969,0.251,0.4,7,0.123,4,5,0.57,11,7.31,8.64,0,Low
P1673,Fintech,Agile,Distributed,T&M,31.91,356,11,5.46,5,18,10,0,7,0.654,14,209,0.932,0.062,0.264,3,0.134,1,8,0.347,5,21.48,19.72,1,High
P1934,Retail,Agile,Distributed,Fixed Bid,42.19,167,17,0.5,4,15,9,1,16,0.226,7,133,0.749,0.248,0.243,6,0.026,2,2,0.506,12,27.12,15.17,1,High
P1011,Telecom,Hybrid,Co-located,Fixed Bid,19.37,332,15,4.7,1,10,3,0,13,0.448,0,0,0.859,0.158,0.064,12,0.135,5,2,0.642,8,7.36,2.05,0,Low
P1248,Government,Hybrid,Co-located,T&M,28.64,365,11,6.72,2,21,2,1,3,0.615,0,0,0.846,0.331,0.163,9,0.0,3,1,0.577,13,8.19,1.63,0,Low
P1665,Retail,Agile,Hybrid,Fixed Bid,35.58,127,16,4.79,1,14,11,1,16,0.261,7,318,0.847,0.139,0.151,13,0.0,5,2,0.854,5,9.47,1.47,0,Low
P1181,Retail,Agile,Co-located,T&M,78.08,178,16,5.55,1,11,3,0,4,0.753,14,326,0.869,0.187,0.098,4,0.123,5,1,0.391,8,5.85,3.65,0,Low
P1871,E-commerce,Agile,Distributed,T&M,81.66,401,20,5.03,3,13,9,0,7,0.389,7,388,0.725,0.251,0.075,10,0.11,3,4,0.702,15,16.7,24.04,1,High
P1584,Telecom,Waterfall,Hybrid,Fixed Bid,117.0,274,13,3.34,2,12,8,0,20,0.219,0,0,0.827,0.126,0.219,14,0.23,4,1,0.492,6,13.59,18.14,0,Low
P1177,Government,Agile,Co-located,Managed Services,12.86,325,13,5.8,4,13,9,0,12,0.558,14,193,0.702,0.186,0.18,2,0.13,1,9,0.732,6,34.47,26.75,1,High
P1573,Fintech,Waterfall,Hybrid,T&M,27.03,108,13,6.08,4,9,8,1,17,0.522,0,0,1.086,0.2,0.097,12,0.0,2,5,0.82,15,15.66,6.81,1,Medium
P1809,Government,Agile,Distributed,Fixed Bid,37.05,514,12,3.5,4,14,16,1,17,0.431,14,120,0.628,0.217,0.202,2,0.113,1,4,0.779,10,27.52,15.8,1,High
P1648,E-commerce,Waterfall,Distributed,T&M,14.32,462,20,5.19,1,3,4,0,16,0.499,0,0,1.027,0.5,0.4,9,0.195,4,2,0.518,5,5.61,-2.63,0,Low
P1190,Telecom,Agile,Distributed,T&M,36.27,505,16,5.68,4,9,11,0,7,0.292,7,297,0.807,0.202,0.029,13,0.094,2,6,0.839,8,23.7,13.47,1,High
P1328,Healthcare,Agile,Distributed,Fixed Bid,57.44,143,13,3.06,2,16,10,0,15,0.247,14,114,0.853,0.207,0.051,4,0.0,4,5,0.274,15,1.52,8.02,0,Low
P1172,Healthcare,Agile,Distributed,Fixed Bid,16.12,440,13,4.95,5,15,10,1,14,0.485,7,303,0.894,0.382,0.108,1,0.199,1,8,0.845,11,28.79,31.86,1,High
P1137,Fintech,Waterfall,Distributed,T&M,29.6,321,14,5.83,3,5,7,1,7,0.551,0,0,0.692,0.184,0.065,6,0.23,4,2,0.591,10,6.26,4.87,0,Low
P1422,Retail,Agile,Co-located,Managed Services,51.78,240,16,3.38,3,13,11,1,12,0.335,7,172,1.025,0.266,0.197,6,0.0,2,2,0.254,12,24.11,19.16,1,High
P1542,E-commerce,Agile,Co-located,Fixed Bid,40.27,521,9,8.14,1,16,2,0,17,0.424,14,384,0.896,0.178,0.292,4,0.0,4,2,0.418,16,5.87,-6.69,0,Low
P1163,E-commerce,Agile,Distributed,Fixed Bid,27.85,464,11,4.61,4,16,10,1,14,0.714,7,364,0.874,0.377,0.268,1,0.097,1,5,0.697,9,26.66,16.57,1,High
P1317,Fintech,Agile,Co-located,Fixed Bid,21.44,123,16,7.35,4,13,8,0,15,0.413,7,377,0.912,0.45,0.104,3,0.136,1,4,0.508,13,15.83,11.35,1,Medium
P1519,Telecom,Agile,Distributed,Fixed Bid,56.78,455,11,1.38,3,20,11,0,6,0.294,7,381,1.038,0.267,0.015,8,0.042,3,7,0.794,7,30.8,24.13,1,High
P1083,Fintech,Agile,Distributed,T&M,28.7,275,12,5.69,2,13,3,0,14,0.123,7,370,0.846,0.297,0.193,3,0.085,5,2,0.916,16,1.29,6.23,0,Low
P1656,Telecom,Agile,Co-located,Fixed Bid,49.12,527,12,4.07,5,22,14,0,3,0.703,14,357,0.769,0.109,0.134,0,0.034,2,5,0.329,7,35.87,27.63,1,High
P1204,Retail,Waterfall,Distributed,Fixed Bid,81.82,191,14,3.94,5,12,13,0,10,0.432,0,0,1.063,0.28,0.336,0,0.144,1,10,0.568,0,24.87,23.49,1,High
P1655,Retail,Agile,Hybrid,T&M,96.27,415,16,4.25,2,10,7,1,9,0.19,7,376,0.927,0.21,0.204,15,0.036,3,7,0.327,21,14.46,8.78,0,Medium
P1324,Telecom,Hybrid,Distributed,Fixed Bid,87.7,234,9,1.5,2,12,6,0,15,0.779,0,0,0.837,0.193,0.184,15,0.113,3,2,0.126,1,29.3,29.53,1,High
P1885,Healthcare,Agile,Co-located,Managed Services,14.95,369,15,3.67,3,8,13,0,17,0.558,14,236,0.964,0.105,0.4,5,0.3,2,4,0.557,10,12.46,13.33,1,High
P1166,Fintech,Agile,Distributed,Fixed Bid,66.31,436,20,0.5,4,17,12,0,14,0.635,7,216,0.999,0.239,0.02,13,0.238,3,7,0.725,9,28.0,10.49,1,High
P1646,Healthcare,Waterfall,Co-located,T&M,154.77,96,8,5.82,5,19,11,1,7,0.491,0,0,0.896,0.208,0.192,1,0.095,2,5,0.856,4,19.22,25.54,1,High
P1117,E-commerce,Agile,Distributed,T&M,61.39,221,10,3.56,3,20,6,0,19,0.351,14,124,0.765,0.28,0.13,11,0.133,2,2,0.568,10,33.41,26.16,1,High
P1102,Fintech,Agile,Hybrid,T&M,42.69,439,10,6.47,5,17,7,1,6,0.387,7,87,0.721,0.285,0.211,0,0.275,2,16,0.474,15,26.48,13.79,1,High
P1803,Retail,Waterfall,Distributed,Fixed Bid,77.02,384,15,4.68,2,7,4,1,9,0.287,0,0,0.832,0.401,0.169,0,0.136,4,2,0.612,5,0.0,-6.82,0,Low
P1279,Healthcare,Waterfall,Distributed,Managed Services,19.77,464,14,7.78,3,8,6,0,6,0.677,0,0,1.057,0.029,0.063,14,0.115,3,2,0.309,0,17.42,3.26,0,Low
P1389,E-commerce,Hybrid,Distributed,T&M,21.02,309,15,4.74,5,19,21,0,13,0.328,0,0,0.782,0.101,0.073,4,0.107,2,5,0.692,19,28.47,26.17,1,High
P1388,E-commerce,Waterfall,Distributed,T&M,15.2,245,16,1.03,4,10,10,1,6,0.539,0,0,0.914,0.158,0.093,9,0.0,2,15,0.929,14,35.67,21.01,1,High
P1855,Retail,Agile,Distributed,Managed Services,51.64,424,10,6.54,1,10,2,0,20,0.382,7,114,0.815,0.165,0.099,14,0.321,5,0,0.516,11,2.41,-1.98,0,Low
P1380,E-commerce,Agile,Co-located,Fixed Bid,10.16,241,9,6.64,3,9,7,0,15,0.26,14,175,0.997,0.26,0.05,11,0.117,2,3,0.684,5,4.88,4.3,0,Low
P1649,Retail,Agile,Co-located,T&M,40.58,473,14,6.7,3,12,4,0,14,0.456,7,366,0.847,0.154,0.102,6,0.116,4,6,0.881,19,4.96,2.34,0,Low
P1999,E-commerce,Agile,Co-located,Fixed Bid,53.1,270,9,6.63,1,15,5,0,12,0.118,7,171,0.742,0.292,0.04,11,0.064,5,2,0.401,18,0.0,3.67,0,Low
P1405,Fintech,Hybrid,Co-located,Fixed Bid,34.98,147,11,5.76,3,13,13,0,17,0.558,0,0,0.971,0.301,0.204,8,0.09,2,5,0.576,4,2.62,5.11,0,Low
P1271,Government,Hybrid,Distributed,Fixed Bid,50.84,110,7,4.75,5,13,12,1,4,0.193,0,0,0.79,0.182,0.246,6,0.16,2,7,0.635,10,24.02,9.97,1,High
P1950,Fintech,Waterfall,Co-located,Managed Services,25.38,386,13,4.54,4,11,11,0,4,0.19,0,0,0.829,0.341,0.159,1,0.137,3,4,0.455,6,26.34,19.53,1,High
P1837,Telecom,Agile,Distributed,Managed Services,99.12,403,25,4.6,2,14,8,0,15,0.264,14,248,0.816,0.009,0.4,6,0.18,5,2,0.435,4,5.5,-0.57,0,Low
P1348,Retail,Agile,Distributed,T&M,78.73,245,15,7.91,4,13,4,0,11,0.434,14,293,1.073,0.19,0.167,2,0.025,2,5,0.666,14,8.91,8.7,0,Low
P1556,E-commerce,Agile,Co-located,T&M,64.18,413,14,3.0,2,13,5,0,11,0.333,14,303,0.929,0.201,0.4,6,0.122,5,6,0.429,16,1.79,6.05,0,Low
P1291,Retail,Agile,Co-located,Fixed Bid,59.37,279,19,3.21,4,12,14,0,16,0.192,14,351,0.778,0.302,0.107,10,0.063,2,6,0.706,2,30.08,20.03,1,High
P1074,Government,Waterfall,Co-located,Managed Services,20.05,167,16,8.07,5,14,18,1,16,0.242,0,0,0.902,0.167,0.189,6,0.102,2,6,0.862,14,19.73,16.53,1,High
P1173,Fintech,Agile,Distributed,T&M,27.79,94,12,7.71,4,23,7,1,19,0.367,14,84,0.762,0.109,0.345,12,0.041,2,5,0.575,6,24.16,13.81,1,High
P1192,Healthcare,Hybrid,Hybrid,T&M,28.81,430,11,5.12,4,13,9,0,15,0.347,0,0,0.88,0.448,0.106,15,0.04,1,4,0.598,0,23.87,15.98,1,High
P1627,Telecom,Waterfall,Hybrid,T&M,26.58,528,25,4.97,1,6,4,0,18,0.329,0,0,1.1,0.16,0.093,6,0.171,5,0,0.666,9,0.0,6.5,0,Low
P1360,Fintech,Agile,Distributed,Fixed Bid,48.28,288,7,8.03,3,16,8,0,6,0.512,14,117,0.917,0.11,0.174,11,0.098,3,4,0.892,13,0.0,0.21,0,Low
P1440,E-commerce,Agile,Co-located,T&M,20.03,124,11,5.79,1,10,3,1,7,0.345,14,357,0.707,0.118,0.069,2,0.326,5,0,0.775,15,3.08,8.69,0,Low
P1284,Retail,Waterfall,Distributed,Fixed Bid,27.45,441,9,3.59,1,7,13,0,11,0.633,0,0,0.863,0.379,0.263,7,0.0,5,2,0.834,5,0.0,-10.0,0,Low
P1381,Telecom,Waterfall,Hybrid,T&M,50.66,72,13,2.58,3,9,6,0,3,0.343,0,0,0.929,0.056,0.074,14,0.107,4,4,0.895,2,9.9,2.52,0,Low
P1784,Telecom,Agile,Hybrid,Managed Services,29.31,334,11,1.37,4,15,11,1,5,0.084,7,101,0.712,0.191,0.035,11,0.0,3,3,0.501,20,31.32,22.49,1,High
P1690,Healthcare,Agile,Co-located,T&M,22.7,290,10,5.74,4,12,10,0,14,0.069,7,282,0.893,0.5,0.072,2,0.116,2,4,0.221,16,21.05,9.95,1,High
P1590,E-commerce,Agile,Co-located,Fixed Bid,40.1,441,13,3.45,4,19,12,0,17,0.177,7,131,0.887,0.256,0.226,10,0.091,1,7,0.559,9,33.38,14.78,1,High
P1931,Healthcare,Hybrid,Hybrid,Managed Services,42.4,199,19,4.39,5,21,10,0,17,0.258,0,0,0.959,0.5,0.252,12,0.0,2,9,0.644,16,18.24,17.1,1,High
P1744,Telecom,Agile,Co-located,T&M,20.09,336,14,3.93,4,13,10,0,9,0.51,7,195,0.992,0.423,0.324,5,0.026,2,3,0.502,10,18.43,29.2,1,High
P1076,Fintech,Waterfall,Hybrid,Fixed Bid,38.0,108,11,6.96,4,9,8,1,16,0.585,0,0,0.778,0.076,0.4,11,0.118,3,5,0.825,7,19.34,7.96,1,Medium
P1293,Government,Agile,Distributed,Fixed Bid,67.32,303,14,5.42,4,7,19,1,7,0.336,14,311,0.809,0.152,0.4,4,0.085,1,4,0.53,0,27.31,24.47,1,High
P1148,Fintech,Agile,Co-located,T&M,30.54,202,16,7.37,5,23,17,1,13,0.563,14,380,0.726,0.239,0.21,1,0.111,1,17,0.824,12,19.91,22.78,1,High
P1215,Fintech,Agile,Distributed,Fixed Bid,16.59,184,13,2.93,3,26,10,0,14,0.3,7,388,0.864,0.354,0.204,11,0.208,3,7,0.413,14,28.0,8.92,1,High
P1832,Government,Agile,Co-located,Fixed Bid,76.67,270,16,2.55,2,7,4,1,10,0.499,14,370,0.906,0.157,0.283,10,0.032,5,0,0.847,4,4.43,2.91,0,Low
P1334,Government,Agile,Co-located,T&M,20.39,169,16,5.43,2,13,9,0,17,0.395,7,180,0.969,0.264,0.197,15,0.056,5,1,0.787,4,0.0,2.07,0,Low
P1047,Retail,Agile,Distributed,T&M,15.63,407,11,4.75,1,14,4,0,18,0.641,7,139,0.677,0.168,0.277,3,0.274,5,2,0.346,9,10.96,-9.41,0,Low
P1156,Healthcare,Waterfall,Hybrid,Fixed Bid,8.92,68,7,7.58,3,10,7,0,4,0.508,0,0,0.982,0.309,0.197,0,0.091,3,3,0.664,3,6.37,-0.94,0,Low
P1939,Healthcare,Waterfall,Co-located,T&M,13.66,455,18,0.5,3,7,16,1,4,0.168,0,0,0.829,0.246,0.1,7,0.0,4,1,0.483,3,25.29,18.46,1,High
P1929,Government,Agile,Co-located,T&M,31.29,244,12,6.77,4,14,8,0,3,0.33,14,297,0.965,0.372,0.051,15,0.042,1,7,0.521,16,16.25,16.38,1,High
P1669,E-commerce,Agile,Distributed,T&M,19.2,114,10,5.67,5,21,8,0,5,0.483,14,168,1.059,0.088,0.099,15,0.077,1,8,0.634,7,31.41,25.66,1,High
P1126,Healthcare,Hybrid,Hybrid,T&M,31.79,71,17,4.9,5,18,9,1,16,0.5,0,0,0.898,0.184,0.067,3,0.0,2,7,0.736,11,25.91,16.54,1,High
P1890,E-commerce,Waterfall,Co-located,Fixed Bid,32.8,479,11,4.21,2,6,6,0,15,0.341,0,0,1.003,0.288,0.199,2,0.153,5,4,0.627,8,5.25,5.89,0,Low
P1203,Fintech,Hybrid,Co-located,Managed Services,31.46,180,12,6.3,5,15,9,1,17,0.439,0,0,0.935,0.317,0.4,12,0.253,2,8,0.791,17,23.61,26.16,1,High
P1963,Healthcare,Agile,Co-located,T&M,30.35,103,16,5.77,3,16,10,0,10,0.097,7,150,0.85,0.122,0.316,12,0.138,4,6,0.786,11,0.51,3.06,0,Low
P1093,Government,Waterfall,Co-located,T&M,55.46,293,12,8.63,4,8,9,1,7,0.427,0,0,1.002,0.226,0.255,13,0.0,1,5,0.598,15,18.72,17.59,1,High
P1671,E-commerce,Hybrid,Co-located,Fixed Bid,26.68,539,19,2.75,5,21,19,0,5,0.076,0,0,0.852,0.379,0.206,0,0.014,1,6,0.619,12,37.05,28.86,1,High
P1462,E-commerce,Waterfall,Distributed,T&M,8.55,163,14,3.07,4,4,11,0,6,0.611,0,0,0.901,0.411,0.32,9,0.119,2,1,0.778,9,27.65,11.5,1,High
P1155,Retail,Agile,Co-located,Fixed Bid,22.69,352,15,5.2,4,14,8,0,7,0.736,7,123,0.903,0.093,0.096,6,0.204,1,6,0.61,6,28.94,11.46,1,High
P1193,Government,Waterfall,Hybrid,T&M,66.6,316,24,5.27,4,8,13,1,18,0.811,0,0,0.962,0.391,0.126,2,0.198,2,9,0.942,11,25.39,18.65,1,High
P1954,Fintech,Agile,Distributed,Fixed Bid,20.72,311,8,4.39,3,24,11,1,4,0.59,7,100,0.93,0.207,0.234,11,0.296,3,3,0.592,5,22.58,3.35,1,High
P1015,Government,Agile,Distributed,Managed Services,24.72,243,13,3.51,3,15,4,1,8,0.262,14,264,0.75,0.159,0.4,0,0.155,4,2,0.844,5,9.96,12.59,0,Medium
P1828,Telecom,Waterfall,Hybrid,T&M,37.67,384,12,4.74,4,12,12,0,10,0.161,0,0,0.781,0.191,0.4,7,0.122,2,5,0.601,11,29.97,19.75,1,High
P1021,E-commerce,Agile,Co-located,T&M,16.93,213,10,1.53,2,14,11,0,3,0.425,14,237,0.963,0.312,0.194,4,0.048,4,5,0.84,2,11.7,8.42,0,Low
P1844,Government,Agile,Hybrid,T&M,33.06,347,9,7.04,2,10,2,0,11,0.613,14,104,0.873,0.456,0.133,13,0.23,3,3,0.58,2,3.72,-0.28,0,Low
P1589,E-commerce,Agile,Distributed,Managed Services,35.58,306,12,3.14,2,10,8,0,6,0.433,14,104,0.671,0.23,0.278,1,0.295,4,2,0.716,13,5.7,-4.49,0,Low
P1473,Telecom,Hybrid,Distributed,Managed Services,21.94,412,20,5.1,4,19,19,0,18,0.187,0,0,1.086,0.132,0.361,14,0.112,3,7,0.163,0,24.5,27.44,1,High
P1353,Telecom,Agile,Hybrid,T&M,34.68,72,12,4.76,2,18,7,0,7,0.759,7,393,0.892,0.103,0.285,13,0.074,5,5,0.495,2,1.48,1.25,0,Low
P1525,Retail,Agile,Distributed,Fixed Bid,45.56,340,9,3.44,5,16,11,0,13,0.365,14,381,0.889,0.353,0.245,10,0.103,2,3,0.78,12,24.54,22.6,1,High
P1685,Fintech,Waterfall,Hybrid,T&M,25.45,464,16,4.42,1,8,4,0,12,0.628,0,0,0.837,0.069,0.335,8,0.0,5,0,0.505,0,1.45,-8.56,0,Low
P1883,Fintech,Agile,Hybrid,T&M,20.62,487,19,1.9,3,16,8,1,6,0.465,7,237,0.884,0.268,0.21,4,0.143,3,5,0.317,3,34.7,16.4,1,High
P1552,Telecom,Waterfall,Hybrid,Fixed Bid,34.16,395,16,4.93,4,20,12,0,17,0.316,0,0,0.805,0.117,0.31,13,0.299,1,5,0.768,10,29.04,26.52,1,High
P1339,Healthcare,Agile,Co-located,T&M,9.31,89,8,3.31,2,7,12,0,11,0.452,14,81,0.539,0.144,0.073,8,0.117,3,4,0.703,16,11.24,3.37,0,Low
P1216,E-commerce,Agile,Distributed,T&M,21.56,366,16,1.88,4,17,16,1,20,0.113,7,239,0.948,0.289,0.049,3,0.0,3,3,0.552,16,23.25,18.9,1,High
P1200,Telecom,Waterfall,Distributed,T&M,49.59,165,16,6.0,4,6,10,0,16,0.723,0,0,0.956,0.5,0.077,4,0.062,2,4,0.757,26,15.86,12.87,1,Medium
P1122,Retail,Agile,Hybrid,Fixed Bid,66.16,251,10,4.56,1,14,9,1,4,0.555,7,123,0.83,0.327,0.099,15,0.177,5,2,0.871,5,3.47,-0.76,0,Low
P1818,Fintech,Agile,Distributed,Fixed Bid,31.93,217,13,4.24,1,3,2,0,19,0.129,7,325,1.062,0.35,0.206,10,0.048,5,3,0.64,12,0.0,0.41,0,Low
P1167,Fintech,Agile,Co-located,Fixed Bid,71.66,326,10,4.33,5,17,15,1,4,0.794,7,268,0.778,0.128,0.307,0,0.0,1,4,0.743,0,30.51,10.48,1,High
P1492,Healthcare,Agile,Co-located,T&M,20.0,117,16,6.23,4,14,11,1,13,0.642,7,331,0.858,0.098,0.295,11,0.101,1,8,0.707,10,20.71,10.2,1,High
P1090,E-commerce,Agile,Co-located,Fixed Bid,104.13,363,16,4.99,3,8,7,0,18,0.464,7,394,0.601,0.453,0.325,0,0.121,2,2,0.58,8,24.72,6.35,1,High
P1734,Retail,Agile,Co-located,T&M,45.54,371,11,7.92,2,14,4,0,6,0.255,14,250,0.8,0.247,0.284,13,0.07,4,2,0.712,13,4.58,-4.36,0,Low
P1995,Fintech,Agile,Distributed,T&M,12.16,517,14,7.93,1,14,3,1,20,0.39,7,379,0.763,0.154,0.141,9,0.295,4,0,0.664,19,0.0,-0.85,0,Low
P1813,E-commerce,Hybrid,Hybrid,Fixed Bid,21.37,483,22,5.06,3,15,8,0,13,0.402,0,0,0.831,0.253,0.395,14,0.037,3,4,0.396,9,22.75,6.82,1,High
P1024,Government,Agile,Hybrid,T&M,22.56,367,13,7.47,5,17,16,0,8,0.436,14,141,0.726,0.364,0.175,13,0.022,1,3,0.837,13,26.28,22.98,1,High
P1363,Healthcare,Agile,Hybrid,Fixed Bid,28.0,501,17,4.34,1,12,10,1,9,0.247,7,154,0.782,0.286,0.125,1,0.123,4,3,0.696,8,10.2,5.18,0,Low
P1092,Healthcare,Waterfall,Co-located,Fixed Bid,29.08,125,8,6.47,5,14,11,1,14,0.046,0,0,0.802,0.268,0.293,14,0.124,1,9,0.45,12,33.98,18.65,1,High
P1688,Fintech,Waterfall,Co-located,T&M,23.49,151,18,4.67,1,10,9,0,3,0.499,0,0,0.907,0.129,0.181,13,0.151,5,0,0.53,13,0.0,8.01,0,Low
P1977,Government,Agile,Hybrid,Managed Services,29.13,391,16,3.62,4,12,11,0,13,0.391,7,294,0.67,0.336,0.155,11,0.193,1,3,0.653,19,28.46,17.59,1,High
P1630,Fintech,Waterfall,Co-located,T&M,8.79,410,11,4.78,2,11,5,1,9,0.435,0,0,0.999,0.391,0.116,5,0.0,5,3,0.389,14,1.2,-0.97,0,Low
P1996,Healthcare,Hybrid,Co-located,T&M,51.75,452,19,5.06,3,13,6,0,16,0.616,0,0,0.862,0.247,0.197,14,0.15,3,4,0.487,6,18.49,10.47,1,Medium
